SI NO      TAG NO      WEIGHT OF THE BALE (kg)  SIZE OF THE BALE TEMP (degree C)MOISTURE CONTENT (%)   BULK DENSITY (g/cc)  COLOUR      
          1      38994           80                    S                      28          10                   0.46          OFF WHITE  
          2      33342           100                   S                      26          8.8                  0.48            WHITE    
          3      89870           120                   S                      22         12.1                  0.45            YELLOW   
          4     504309           170                   L                      24          8.6                  0.39            WHITE    
          5      24355           150                   M                      20          9.4                  0.38          OFF WHITE  
          6     409090           150                   M                      45          9.4                  0.36            GOLDEN   
          7      99003           170                   L                      47          10                   0.42          OFF WHITE  
          8        909           150                   M                      38          7.8                  0.46            YELLOW   
          9      22311           120                   S                      37         13.4                  0.39            WHITE    
         10      11789           150                   M                      22          7.8                  0.38          OFF WHITE  
         11      24354           170                   L                      21          8.6                  0.39            YELLOW   
         12      11889           120                   S                      20         12.1                  0.45            GOLDEN   
         13      24356           130                   M                      23          8.6                  0.46            YELLOW   
         14      23988           150                   M                      34          10                   0.48            WHITE    
         15     343322           100                   S                      43         12.1                  0.38            WHITE    
         16      24359           100                   S                      34          9.4                  0.39            YELLOW   
         17      24360           150                   M                      42          10                   0.46            GOLDEN   
         18      18181           170                   L                      45          9.4                  0.45            YELLOW   
         19     101010           150                   M                      46         13.4                  0.39            YELLOW   
         20     181917           100                   S                      36          10                   0.46            GOLDEN   
         21      24364           120                   S                      22          9.4                  0.38          OFF WHITE  
         22      22565           80                    S                      24          9.4                  0.48            YELLOW   
         23      24366           170                   L                      20          10                   0.46            GOLDEN   
         24     298902           100                   S                      45         12.1                  0.39            GOLDEN   
         25      24368           80                    S                      47          8.6                  0.45          OFF WHITE  
         26      24369           120                   S                      38          7.8                  0.48            GOLDEN   
         27      17878           100                   S                      37          10                   0.48            GOLDEN   
         28      24371           180                   L                      22         12.1                  0.36            YELLOW   
         29     190091           150                   M                      21          10                   0.38            GOLDEN   
         30      23890           100                   S                      20         13.4                  0.45            WHITE    
         31      24374           100                   S                      23          10                   0.48          OFF WHITE  
         32      26788           180                   L                      34         12.1                  0.42            YELLOW   
         33      24376           170                   L                      43          7.8                  0.45            GOLDEN   
         34      24377           80                    S                      34          8.6                  0.42            GOLDEN   
         35      19877           170                   L                      42          9.4                  0.42            YELLOW   
         36      24379           170                   L                      45         12.1                  0.38            YELLOW   
         37     134332           100                   S                      46          10                   0.45            GOLDEN   
         38      24381           120                   S                      36         13.4                  0.36          OFF WHITE  
         39      88898           80                    S                      22          10                   0.36            YELLOW   
         40      77777           170                   L                      24         12.1                  0.45            GOLDEN   
         41     767678           80                    S                      20          10                   0.38            GOLDEN   
         42       6563           180                   L                      26         12.1                  0.42          OFF WHITE  
         43      24361           100                   S                      22          9.4                  0.46            GOLDEN   
         44      23114           170                   L                      24          7.8                  0.48            GOLDEN   
         45      18988           80                    S                      20         13.4                  0.45            YELLOW   
         46      24365           100                   S                      45          7.8                  0.39            WHITE    
         47      14482           180                   L                      47          8.6                  0.38          OFF WHITE  
         48      31332           180                   L                      38         12.1                  0.36            GOLDEN   
         49     789804           120                   S                      37          8.6                  0.42          OFF WHITE  
         50     134566           180                   L                      22          10                   0.46            YELLOW   
         51     231143           180                   L                      21         12.1                  0.39            WHITE    
         52      78554           100                   S                      20          9.4                  0.38          OFF WHITE  
         53      32144           120                   S                      23          10                   0.39            YELLOW   
         54      24378           150                   M                      34          9.4                  0.45            GOLDEN   
         55      24375           120                   S                      43         13.4                  0.46            YELLOW   
         56      90709           150                   M                      34          10                   0.48            WHITE    
         57      50989           150                   M                      42          9.4                  0.38            WHITE    
         58      24373           100                   S                      45          9.4                  0.39            YELLOW   
         59      34556           180                   L                      46          10                   0.46            GOLDEN   
         60      22355           100                   S                      36          10                   0.45            YELLOW   
         61      15332           100                   S                      46         13.4                  0.39            YELLOW   
         62      87599           100                   S                      36          9.4                  0.46            GOLDEN   
         63      24370           100                   S                      22          9.4                  0.38          OFF WHITE  
         64      99999           100                   S                      24          10                   0.48            YELLOW   
         65      24363           180                   L                      20          10                   0.46            GOLDEN   
         66      10008           100                   S                      26          9.4                  0.39            GOLDEN   
         67      18898           100                   S                      22          10                   0.45          OFF WHITE  
         68      10004           170                   L                      24         12.1                  0.48            GOLDEN   
         69      12223           100                   S                      20          9.4                  0.48            GOLDEN   
         70      24367           120                   S                      45          9.4                  0.36            YELLOW   
         71      10003           150                   M                      47          10                   0.38            GOLDEN   
         72     100002           180                   L                      38          9.4                  0.45            WHITE    
         73     199898           100                   S                      37          10                   0.48          OFF WHITE  
         74      24357           120                   S                      22          10                   0.42            YELLOW   
         75     233233           170                   L                      21          9.4                  0.45            GOLDEN   
         76     500090           150                   M                      20         12.1                  0.42            GOLDEN   
         77     500909           120                   S                      24          9.4                  0.42            YELLOW   
         78      44440           180                   L                      20          10                   0.38            YELLOW   
